1997_468_13.txt_2,"readaptacji jest dobrowolne, o ile przepisy ustawy nie stanowią inaczej"
1997_468_13.txt_3,przepisy ustawy nie stanowią inaczej
1995_59_71.txt_1,obiektywne ustalanie i rzetelne dokumentowanie wyników kontroli
1995_59_71.txt_2,stałe podnoszenie kwalifikacji zawodowych
1995_59_71.txt_3,"godne zachowanie się w służbie i poza służbą, 5) stałe podnoszenie kwalifikacji zawodowych"
1997_349_61.txt_1,administracji rządowej
1997_349_61.txt_2,administracji rządowej. 2. Budżet państwa jest uchwalany w formie ustawy budżetowej
1997_349_61.txt_3,"sądów i trybunałów, 3) administracji rządowej"
1997_553_209.txt_1,"na wniosek pokrzywdzonego, organu opieki społecznej lub właściwej instytucji"
1997_553_209.txt_2,organu opieki społecznej lub właściwej instytucji
1997_553_209.txt_3,"wniosek pokrzywdzonego, organu opieki społecznej lub właściwej instytucji"
1994_195_223.txt_1,jednego miesiąca od daty doręczenia wezwania Urzędu Patentowego
1994_195_223.txt_2,na wezwanie Urzędu Patentowego w określonym terminie
1994_195_223.txt_3,ciągu jednego miesiąca od daty doręczenia wezwania Urzędu Patentowego
1999_95_57.txt_1,strefami bezpieczeństwa
1999_95_57.txt_2,"szczególnej kontroli wejść i wyjść oraz kontroli przebywania, zwane dalej """"strefami bezpieczeństwa"
1999_95_57.txt_3,wokół stref bezpieczeństwa strefy administracyjne służące do kontroli osób lub pojazdów
2001_1354_7.txt_1,"przed upływem trzeciego tygodnia następującego po tygodniu, w którym odpoczynek został skrócony"
2001_1354_7.txt_2,przed upływem trzeciego tygodnia następującego po tygodniu
2001_1354_7.txt_3,"upływem trzeciego tygodnia następującego po tygodniu, w którym odpoczynek został skrócony"
1999_930_20.txt_1,sąd może także odstąpić od wymierzenia kary
1999_930_20.txt_2,sąd
1999_930_20.txt_3,odstąpić od wymierzenia kary
1997_555_408.txt_1,niezwłocznie przystępuje do narady
1997_555_408.txt_2,przystępuje do narady
1997_555_408.txt_3,sąd niezwłocznie przystępuje do narady
2002_110_6.txt_1,"szczególną starannością, by nie naruszyć wolności i praw człowieka i obywatela"
2002_110_6.txt_2,by nie naruszyć wolności i praw człowieka i obywatela
2002_110_6.txt_3,wolności i praw człowieka i obywatela
1997_44_17.txt_1,do kompetencji przewodniczącego zarządu jednostki samorządu terytorialnego
1997_44_17.txt_2,"postanowienia, na które nie przysługuje zażalenie"
1997_44_17.txt_3,przewodniczącego zarządu jednostki samorządu terytorialnego
1997_153_112.txt_1,komisji rewizyjnej
1997_153_112.txt_2,przewodniczącego komisji rewizyjnej
1997_153_112.txt_3,przedstawiciel branżowych kas - oraz przewodniczącego komisji rewizyjnej
1996_465_302.txt_1,o równej wartości nominalnej
1996_465_302.txt_2,równej wartości nominalnej
1996_465_302.txt_3,zakładowy spółki akcyjnej dzieli się na akcje o równej wartości nominalnej
